Author,Book,Category,Year,ISBN
Kirsty APPLEBAUM AND SAHAR HAGHGOO,PRINCESS MiNNA,Reading Challenge,2,9781839949425
Polly Ho-YEN AND Binny Talib,Two SiDES,Reading Challenge,2,9781788950626
Anne Booth & David Litchfield,A shelter for sadness,Reading Challenge,2,9781787417212
Chitra Soundar,Sona Sharma a friend indeed,Reading Challenge,2,9781529504385
Serena Patel,Picture Picture,Reading Challenge,2,9781800900905
Siman Nuurali,Sadiq and the Ramadan gift,Reading Challenge,2,9781515872887
John Agard,Shona Word detective,Reading Challenge,2,9781781127865
Lola Morayo,Aziza's secret fairy door,Reading Challenge,2,9781529063851
Joseph Coelho & Allison Colpoys,If all the world were...,Reading Challenge,2,9781786030597
Leigh Hodkinson,Martha maps it out,Reading Challenge,2,9780192777782
Siman Nurrali,Sadiq and the community garden,Reading Challenge,2,9781666330786
Zanib Mian,Planet Omar unexpected super spy,Reading Challenge,2,9781444951271
Alex Falase-Koya,Suit up. Step up. It's time to become a hero Marv and the pool of peril,Reading Challenge,2,9780192780461
Ibtihaj Muhammad with S.kAli,The proudest blue,Reading Challenge,2,9781783449729
Shinsuke Yoshitake,Can I build another me,Reading Challenge,2,9780500650783
Edith Blyton,The Enchanted Wood,Reading Challenge,2,9781405272193
Helaine Becker,Counting on Katherine,Reading Challenge,2,9781250137524
Roald Dahl,Georges Marvellous Medicine,Reading Challenge,2,9780141365503
Karen Owen,Major and Mynah,Reading Challenge,3,9781913102746
A.M Dassu,The new kid,Reading Challenge,3,9780008479060
Maz Evans,The exploding life of Scarlett Fife,Reading Challenge,3,9781444957679
M.Chan,Tiger Warrior,Reading Challenge,3,9781408363089
Nicola Davies,Ariki and the giant shark,Reading Challenge,3,9781406369793
Jenny Mclachlan,Stink worst.fairy.ever,Reading Challenge,3,9780008524272
Dan Abo and Jason Patterson,Barb the brave,Reading Challenge,3,9781398512702
Malorie Blackman,Grandpa Bert and the ghost snatchers,Reading Challenge,3,9781781128305
Chrissie Sains,The treasure under the jam factory,Reading Challenge,3,9781406396140
Candy Gourlay,Mike falls up,Reading Challenge,3,9781788951654
Serena Patel,Anisha accidental detective school's cancelled,Reading Challenge,3,9781474959537
Vashti Hardy,Harley hitch and the Iron Forest,Reading Challenge,3,9780702302558
Joyce Dunbar,The boy in the jam jar,Reading Challenge,3,9781472973931
Lee Newbery,The last firefox,Reading Challenge,3,9780241493533
Konnie Huq,Cookie the most annoying boy in the world,Reading Challenge,3,9781848128828
Lucy Brandt,Leonora bolt secret inventor,Reading Challenge,3,9780241436769
Venessa Taylor,Baller boys,Reading Challenge,3,9781916286405
Alex Falase-Koya,Marcus Rashford THE BREAKFAST CLUB ADVENTURES,Reading Challenge,3,9781529076622
Atinuke,Too small Tolo gets tough,Reading Challenge,3,9781406398793
Simon Philip,Fred wizard in training,Reading Challenge,3,9781471190957
Katie  and Kevin Tsang,Sam Wu is not afraid of ghosts,Reading Challenge,3,9781405287517
Mark Powers,Space detective,Reading Challenge,3,9781526603180
Serena Holly,The marvellous granny Jinks and me,Reading Challenge,3,9781398503038
Joseph Coelhe,Our tower,Reading Challenge,3,9780711268821
Zana Fraillon,Wisp,Reading Challenge,3,9781408350102
Ian Eagleton,Nen and the lonely fisherman,Reading Challenge,3,9781913339098
Ayisha Malik,Seven sisters,Reading Challenge,3,9781788952095
Benjamin Zephaniah,We sang across the sea the empire windrush and me,Reading Challenge,3,9780702311161
Patrice Lawrence,Granny Ting Ting,Reading Challenge,3,9781472967718
Samantha Baines,Harriet Versus the Galaxy,Reading Challenge,3,9781913311018
Andy Shepherd,The boy who grew dragons,Reading Challenge,3,9781848126497
Robin Boyden,Georgia and the edge of the world,Reading Challenge,4,9781788451796
Annabelle Sami,Llama on a mission,Reading Challenge,4,9781405297554
Ellie Clements,The wondrous prune,Reading Challenge,4,9781526638328
Sibeal Pounder,Bad mermaids,Reading Challenge,4,9781408877128
Kate Foster,Paws,Reading Challenge,4,9781760652661
Lucy Noguera,Swop The Satsuma -sized secret,Reading Challenge,4,9781914577000
Priscilla Mante,Jaz Santos vs the world,Reading Challenge,4,9780241482001
Gabrielle kent,Knights and bikes,Reading Challenge,4,9781999642501
Jason Reynolds,Stuntboy in the meantime,Reading Challenge,4,9781913311247
Nizrana Farook,The girl who stole an Elephant,Reading Challenge,4,9781788006347
Jasbinder Bilan,Asha and the spirit bird,Reading Challenge,4,9781911490197
Alesha Dixon,Lighting girl,Reading Challenge,4,9781407180847
Sue Cheung,Maddy yips guide to life,Reading Challenge,4,9781839130496
G.R . Gemin,Sweet pizza,Reading Challenge,4,9780857636300
Ashley Banjo,Fly high crew,Reading Challenge,4,9780702306440
Richard O'neill,A Different Kind of Freedom: A Romani Story,Reading Challenge,4,9781407199580
Jenny Mclachlan,Dead good detectives,Reading Challenge,4,9781405298155
Rob Biddulph,Peanut Jones,Reading Challenge,4,9781529040524
Kereen Getten,Ada rue and the banished,Reading Challenge,4,9781801991292
Maisie Chan,Keep dancing Lizzie Chu,Reading Challenge,4,9781800781610
Radiya Hafiza,Rumaysa ever after,Reading Challenge,4,9781529091311
Cece Bell Bell,El Deafo,Reading Challenge,4,9781419712173
Ross Montgomery,Max and the million,Reading Challenge,4,9780571333486
Lenny Henry,The boy with wings,Reading Challenge,4,9781529082562
Onjali Q. Rauf,The food great bank heist,Reading Challenge,4,9781781129623
Sufiya Ahmed,Ruby Ali's Mission break up,Reading Challenge,4,9781472993175
Joseph Coelho,Zombierella,Reading Challenge,4,9781406389661
Camilla Chester,Call me lion,Reading Challenge,4,9781913102890
JK Rowling,Harry Potter and the Philosophers stone,Reading Challenge,4,9780747532743
Kelly Yang,Front Desk,Reading Challenge,5,9781913311094
Stewart Foster,Can you Feel the Noise,Reading Challenge,5,9781471191275
Sharna Jackson,The Good Turn,Reading Challenge,5,9780241523599
Aoife Dooley,Frankie's World,Reading Challenge,5,9780702307355
Kwame Mbalia,Last Gate of the Emperor,Reading Challenge,5,9781338665857
Patrice Lawrence,Diver's Daughter,Reading Challenge,5,9781407191409
Nizrana Farook,The Boy who met a whale,Reading Challenge,5,9781788009430
Jen Carney,The accidental Diary of BUG,Reading Challenge,5,9780241455449
Em Norry,Amber undercover,Reading Challenge,5,9780192774736
M.T.Khan,Nura and the Immortal Palace,Reading Challenge,5,9781529503494
Marie Basting,Princess BMX,Reading Challenge,5,9781911490944
Rebecca King,Ember Shadows and the Fates of Mount Never,Reading Challenge,5,9781510109957
Annabelle Sam,Agent Zaiba Investigates The missing diamonds,Reading Challenge,5,9781788952064
Sangu Mandanna,Kiki Kallira breaks a kingdom,Reading Challenge,5,9781444963441
Sufiya Ahmed,Noor Un Nissa Inayat Khan,Reading Challenge,5,9780702300059
Helen Rutter,The boy who made everyone laugh,Reading Challenge,5,9780702300851
L.D.Lapinski,Jamie,Reading Challenge,5,9781510110922
Benjamin Dean,Me my Dad and the end of the rainbow,Reading Challenge,5,9781471199738
Susan Brownrigg,Gracie Fairhsaw and the mysterious guest,Reading Challenge,5,9781912979349
Polly Hoyen,The day no one woke up,Reading Challenge,5,9781471193569
Paola Peretti,The distance between me and the cherry tree,Reading Challenge,5,9781471407550
Emily Kenny,The Extraordinary adventures of Alice Tonks,Reading Challenge,5,9780861542055
Humza Arshad,Little Badman and the time travelling teacher of doom,Reading Challenge,5,9780241378502
Burhana Islam,Mayhem Mission,Reading Challenge,5,9781913311148
Lynne Kelly,Song for a whale,Reading Challenge,5,9781848126916
Jamar J Perry,Cameron Battle and the hidden Kingdoms,Reading Challenge,5,9781547606948
Maisie Chan,Danny Chung does not do maths,Reading Challenge,5,9781800780019
Onjali Q Rauf,The lion above the door,Reading Challenge,5,9781510106758
Elle McNicoll,A kind of Spark,Reading Challenge,5,9781913311056
Angela Mcallister,Leon and the place between,Reading Challenge,5,9781840118605
Tola Okoggwu,Onyeka and the academy of the sun,Reading Challenge,6,9781398505087
Isabel Roxas,The adventures of team pom squid happens,Reading Challenge,6,9781912497256
B.B.Alston,Amari and the night brothers,Reading Challenge,6,9781405298179
Sarah Hagger Holt,Nothing ever happens here,Reading Challenge,6,9781474966238
Elle McNicoll,Show us who you are,Reading Challenge,6,9781913311131
Sharana Jackson,Happy Here,Reading Challenge,6,9781913311162
Kereen Getten,When life gives you mangoes,Reading Challenge,6,9780593173978
Jo Cotterill,A storm of strawbwrries,Reading Challenge,6,9781848126169
Eve Wersocki Morris,The bird singers,Reading Challenge,6,9781444963328
Nina Hamza,Ahmed Aziz's epic year,Reading Challenge,6,9780063024892
Rosie Jones,The amazing Edie Eckhart,Reading Challenge,6,9781444958348
Zillah Bethell,The shark caller,Reading Challenge,6,9781474966849
Jo Cotterill,Jelly,Reading Challenge,6,9781848126732
Eve Ainsworth,All to play for,Reading Challenge,6,9781800900929
Sita Brahmachari,Where the riverruns gold,Reading Challenge,6,9781510105416
Dave McKean,SF said tyger,Reading Challenge,6,9781788452830
Jerry Craft,New kid,Reading Challenge,6,9780062691194
Joseph Coelho,Overheard in a tower block,Reading Challenge,6,9781910959589
Onjali Q. Rauf,The night bus hero,Reading Challenge,6,9781510106772
Lisa Thompson,The goldfish boy,Reading Challenge,6,9781407170992
Jason Reynolds,Look both ways,Reading Challenge,6,9781999642594
Anne-Marie Conway,How to be more hedgehog,Reading Challenge,6,9781912979813
Patience Agbabi,The infinite,Reading Challenge,6,9781786899651
Steward Foster,All the things that would go wrong,Reading Challenge,6,9781471145421
Polly ho-yen,Boy in the tower,Reading Challenge,6,9780552569163
JUSTIN A.reynolds,Miles Morales shock waves,Reading Challenge,6,9780702313318
Phil Earle,While the Storm Rages,Reading Challenge,6,9781839132056
Varsha Shah,Ajay and the Mumbai Sun,Reading Challenge,6,9781913696337
Libby Scott,Do you know me?,Reading Challenge,6,9780702300950
Robert Swindles,Room 13,Reading Challenge,6,9780440864653
Julie Pike,The last spell breather,Reading Challenge,6,9780192771605
